text,tags
"Отличные штаны,теплые,не толстые
Качество хорошее, зиму отходили . 
отличные брюки для Якутских морозов, до этого точно такие же были на 2 размере меньше 2 года носили 
Отличные!
На зиму самое то 
Сами штаны хорошие, но узковаты.
Хорошие штаны, теплые, чуть мало мерят в длину
Довольны, теплые
","[""Плохо пропускает воздух"", ""Удобный""]"
"Хорошее качество 
Хорошие футболки, базовые.
Тонкие , недорогие футболки, вроде бы ровно скроены, для мальчика отлично , на повседневку или дома
Растянулась горловина
Качество хорошее, хотела легкие , но средней плотности ткань . 
Приятный к телу трикотаж
","[""Приятный материал"", ""Качественный"", ""Скатывается ткань""]"
"Купила уже второй такой комбинезон, для младшего сына. Старший вот уже третий сезон будет носить свой в другом цвете. В эксплуатации просто суперский! Не промокает, тёплый, легко чистится, не протирается. Удобный крой: достаточно широкий в туловище и паху, но при этом не слишком широкие штанины и рукава.  Размер, как у многих производителей верхней одежды, с запасом до 6см. Например, на рост 101 размер 98 ещё хорошо подходит (ребёнок стройный). А на рост 88 размер 92 с приличным запасом.
Качество на высоте! 
116 размер на рост 103 
На рост 86 взяли 98, ребенок крупный, ему как раз. Очень приятный и удобный в носке, при этом теплый, думаю до -5 до +5 градусов будет хорошо. Будем брать только эту фирму теперь)
Удачная модель, хорошо сидит по фигуре. Надо брать на размер больше 
Быстро затираются швы, не очень плотная мембрана 
","[""Для высокого роста"", ""Не жмет"", ""Удобный""]"
"Симпатичная, но очень сильно маломерит
Тянется хорошо. Наш рост 95 размер 98 подошел. 
Просто отличная футболка за такую цену
Отличное качество, хороший принт, размер соответствует. Рекомендую.
Хорошая футболка
Отличная футболка, хорошее качество. Приятная к телу. Всем рекомендую к покупке. 
","[""Приятный материал"", ""Идет в размер"", ""Качественный"", ""Маломерит""]"
"Стильная курточка, удобная, много карманов, легкая. Ребенку очень нравится.
Классная куртка
Курточка хорошего качества и в принципе у этого бренда вся верхняя одежда достойного качества. Берём не в первый раз. Отказалась от этой курточки только из-за того, что выбрали эту же модельку только в другом цвете. 
Хорошо сшита, много карманов, легкая, достаточно теплая. Ребенку удобно
Куртка отличного качества. Модель, лёгкий утеплитель Сын довольный
","[""Идет в размер"", ""Качественный"", ""Просвечивает""]"
"Супер! Идет в размер, яркий набор
Яркий, удобный , ребенку понравился. 
Красивый, яркий костюм. Сыну понравился.
Отличный, яркий костюмчик
Отличный комплект 
","[""Приятный материал"", ""Просвечивает"", ""Удобный""]"
"Очень понравилась футболка. Яркий и интересный принт для ребенка. Качество супер! 
Супер качество, советую
Футболка отличного качества!С ярким, нарядным принтом! Размер соответствует действительности! Всем очень понравилась!
Классная футболка 
Качество как всегда отличное
Отличное качество 
Симпатичный принт, самое то на лето
Футболка просто супер.качество на высоте.очень приятная к телу.
Классная весёлая футболочка!!!
Отличная плотная футболка
Классная футболочка, яркая приятная ткань, спасибо
Яркий рисунок, после стирки не выцвел. Очень мягкий трикотаж.
Хорошее качество, очень яркая, при стирке не полиняла и не села
Хорошая стильная футболка. Ткань приятная.
Футболка очень красивая, качество отличное. Очень нравится этот производитель. Немного великовата еще, но все лето впереди.. Дорастем... Спасибо Ламоде за досрочную доставку.
Мягкая, удобная
Отличная, немного маломерит
Красивые футболкивзяла в подарок 
Очень симпатичная футболочка на лето.
Супер качество, яркая, мягкая, после стирки не деформируется и цвет не теряет. Идет в размер. Мы крупные на свой возраст всю одежду этой марки беру на размер больше 
Отличная футболка 
Качественная футболка
Теперь это моя любимая футболочка ! Супер классная 
","[""Качественный"", ""Не жмет"", ""Скатывается ткань"", ""Качественный принт"", ""Удобный""]"
"Качество хорошее, смотрится прикольно, чуть больше мерит 
Качество на высоте. купила в двух расцветках. все супер. ребенок носит ч огромным удовольствием.
классный,, ребенку понравилось 
Внучке понравилось 
Качество супер 
","[""Приятный материал"", ""Качественный""]"
"Отличное поло в школу
Классная и качество хорошее 
Отличная школьная рубашка. В размер. Приятное качество.
Поло понравилось, брали для школы. На рост 140 подошёл размер 146.
Классное поло 
Подошла на худого мальчика 
","[""Идет в размер"", ""Качественный""]"
"В размер, качество материала желает лучшего 
Ребенку на рост 138 размер 146 оказалась короткая, за то рукава как у Пьеро, думала подойдёт на следующий год, а она вообще не подошла, очень жаль, ткань грубая
На худенького мальчика подошло
Жестковата ткань и гладить не очень приятно. Качество пошива хорошее. Модель интересная.
Хорошее качество 
Хорошая рубашка
Хорошая рубашка
Рубашка качественная, в школу просто идеальная, красивая, на 164 рост  рубашка села идеально
Отличная рубашка! Чисто белыйицвет, приятный материал! Всё соответствует описанию. 
Хорошая рубашка
Хорошая рубашка за эту стоимость. На стройного мальчика ростом 145 см отлично села. Плотная, не просвечивает.
","[""Не садится после стирки"", ""Качественный"", ""Качественный принт"", ""Не просвечивает""]"
"Качество хорошее, тонкие на лето 
Хорошие брюки для подвижного ребенка в школу
Удобные штанишки 
Хорошие брюки 
хорошие брюки для школы
Хорошие брюки. Подошли высокому и стройному  сыну 
Очень приятный материал, маломерки на пару размеров 
","[""Приятный материал"", ""Маломерит"", ""Для высокого роста"", ""Удобный""]"
"Отличная майка, приятная телу.  Качество хорошее.
Майка быстро стала маленькая 
Хорошее качество, в размер
Нормальная хлопковая майка
Маломерит, подошла на рост 118
Качество на уровне 
Маломерка на 1 размер
В размер, претензий нет
Красивый синий цвет!
Хорошее качество 
Хорошая майка вниз. Плотный хлопок
Качественная майка. 
Хорошая Майка
Хорошая маечка, швы ровные, пошив качественный, чуть маломерит.
Хорошая, качественная, после стирок многочисленных выглядит также.
","[""Качественный"", ""Маломерит""]"
"Хороша длина
Хорошие носки, гладкие, катышки не образуются после стирки. Удобно иметь одинаковые цвета 
Отличные носочки 
Носки супеп
Хорошие носки
По качеству мне больше нравится Остин. Но эти тоже очень неплохие. И цена приятная )
Хорошие носки
Отличное качество, буду заказывать ещё.
Носки хорошие, тянутся, после стирки практически не сели. 
За свою цену отличные носки
Хорошие по качеству носки 
Обычные носки. Кашлятятся быстро, но Машинка решает. Пока не протерлись.
Нормальные носки 
купила сыну в школу, уже 2 месяца носит, дырок пока нет)
Отличные носки, не катышатся, пережили много стирок) 
База, отличные носки
Быстро снашиваются. Но в целом все устраивает 
Хорошие носки
Хорошие носочки, резинка не перелавливает ногу ребёнка 
Рекомендую 
Носки в черном цвете оставляют ворсинки на ноге
Создается эффект грязи между пальцами
В целом норм носки
На вид качественные, посмотрим как в носке 
Очень хорошие!
Хорошие, тонкие носочки в размер 
Носки удобные , не слезают с пятки 
Хорошие хлопковые носки , а самое главное их много 
За свою цену очень даже хорошие носки.

Мягкие, качественные, не давят 
В школу самое то
Хорошие носки ,носиться качественно не скатываются по 5-7 дней не меняю с они как новые советую кто не любит часто менять одежду к которой привыкаешь за дни носки )
Качество приятное
Хорошие носки 
Качество носков отличное!
Удобные, качественные 
Классные носки,к телу приятные,состав хороший,после стирки не скатались.
Замечательные носочки . Прочные , мягкие .
Носочки хорошего качества 
Отличные носки )
Хорошие носочки
Очень качественные носки
Отличный набор 
Хорошие носки. 
качество отличное, цена просто подарок
Хорошие носочки, в размер.
Плотные носочки на холодное время года.
Отличные носки 
Все время покупаем эти носочки , качество нормальное 
всё хорошо 
Носки супер 
Хорошего качества
Очень удобные. Приятные на ощупь. Для школы идеально. Заказала в других цветах так же
Отличное качество 
Хорошие носки за эту цену 
Хорошие носочки
Все отлично 
носки качественные, в меру плотные, размер соответствует, даже тянется и еще больше, цвета для повседневной носки очень подходят
Хорошего качества!
Отличный набор. Покупала ребенку в школу. Буду брать еще. Носочки хорошие.
Отличное качество!
Носки хорошие, сделаны качественно, размер подошел идеально, мягкие , плотно прилегают к стопе. Осталась довольна. Спасибо.
Качество понравилось,хорошие носки.
Быстро протерлась пятка
Идеальный наборчик для моего малолетки 
Отличного качества
Отличное качество и цена приятная 
Хорошие носочки,купила внуку,доволен
Отличные носки
Для школы сыну.  После стирки не сели , катышек нет. 
Хорошие носочки для школьника
За свою цену отлично 
Не знаю ‍♀️ качество но выкупила 
Хорошие носки 
Качественные носки 
Хорошие носки 
Классные хлопковые носочки
Не хватает упругости 
Хорошие носки 
Удачный набор насочек, хорошо тянуться, после стирки катышек не появилось.
Хорошие носочки 
Демократичная цена, неплохое качество, идёт в размер. Сыну понравились.
По размеру и качеству претензий нет, рекомендую к покупке
Хорошее качество
Носки как носки
Хорошие носки! 
Хорошие носки, базовые цвета.  
Носки хорошие 
Хорошего качества 
В школу, на тренировку 
Очень хорошее качество 
База, хорошие в носке
Отличный товар!
Нормально 
Качество хорошее.Отличные носочки
Хорошие, рекомендую 
Удобные, резинка не давит.
Качество не очень
Для школы идеально 
Носочки не на 5*, после первой  носки немного растрепались, думала тонкие, оказались немного плотноватыми
","[""Качественный"", ""Не жмет"", ""Удобный""]"
"Хорошая футболка, принт не трескается (было 5 стирок), ворот не вытянулся.
Хорошее качество
Хорошая футболка. Качество
После 3 стирок ничего с ней не случилось
Яркая, стильная, качественная. Рисунок не испортился при стирке. Носит с удовольствием.
Футболка понравилась, приятная
Сын доволен! Качество супер!
Хорошая ткань, не очень плотная, но и не прозрачная. Ребенку принт нравится. Уже раз 10 постирали - все норм

Хорошая футболка
Отличная, хорошая футболка 
Хорошая футболка, размер соответствует
Хорошая футболка, в размер

После нескольких стирок, немного растянулась. Приятная к телу. 
Качество хорошее, после стирок рисунок на месте, как новый
Футболка по качеству отличная 
Хлопок мягкий, принт яркий, четкий. После стирки не перекрутило не потянуло. 
Хорошая футболка. Качество
Отличная, качественный принт
","[""Ткань не скатывается"", ""Качественный"", ""Скатывается ткань"", ""Цвет как на фото""]"
"Замечательные шортики! Рекомендую к покупке 
Шорты отличные, только не регулируются. Прислали не тот размер, перезаказывать не стала, все-таки нужно регулировать талию
Хорошие шорты. Лёгкие, на лето отлично. Качество на высоте. В размер.
Шорты отличные, но большемерят.
Шикарные шорты 
Ребенку вес 15 рост 96 идеально подошли 
Большемерят
","[""Большемерит""]"
"Хорошая толстовочка
Цвет неба 
Хлопок, приятные, хорошее качество
Отличный худи
Все отлично 
Качество хорошее. Маломерит на мой взглят
Качество хорошее, затяжек/дырок и тп нет. Градусов на 15 и выше без верхнего слоя. 98 размер на рост 90, чуть оверсайз. Капюшон довольно большой.
За 567 рублей потрясающая худи, цвет красивый.  Качество стандартное для sela. Собрала весь костюм за 1100, довольна.
Плотная ткань , горловина очень узкая , еле надели ребенку, капюшон тяжелый, цвет красивый. Не выкупила.
Отличный, цвет faded на любителя, мне нравится. Мягкий, сидит хорошим правильным оверсайзом 
Разный цвет у штанов и худи ‍♀️ 
Очень классное, качественное худи! 
Со штанишками идельный костюм получается) 
","[""Качественный"", ""Цвет отличается"", ""Скатывается ткань"", ""Удобный"", ""Сидит идеально""]"
"Отличная куртка. Теплая, качественная! Смотрится дорого. Цвет как на фото. Хороший мех. Не маломерит: ребенку 129 см даже на вырост пойдет. Закрывает попу. 
рукава узковаты.
Куртка бомбическая, теплая, легкая, очень качественная
Теплый. Смотрится дорого 
Качественный,очень теплый пуховик!
Классная куртка, легкая, но теплая! Отличные манжеты на резинке. Взяла 2 размера на рост 124 - 128 и 134. По ощущениям идет размер в размер, так как на 124 размер 128 великоват, оставила на следующую зиму. 
Единственное - цвет в реальности отличается от фото. В живую он ближе к коричнево-серому , чем на фото. 
Куртка отличного качества ,тёплая,красивый мех,хорошая фурнитура,полноразмерная
Хороший, теплый, но тяжелый 
Слишком оказался тяжелым для ребёнка, жалуется, что в нем не подвижен 
Отличное качество, тёплая, мех огонь, качественная фурнитура.
Теплый , добротный , смотрится очень красиво , но тяжёлые 
","[""Приятный материал"", ""Цвет отличается"", ""Качественный""]"
"Лонгслив красивый, принт яркий. Качество отличное! Покупкой довольны. Рекомендуем!
Все хорошо .
Хороший лонгслив 
Хороший, качественный лонгслив
Клевый лонг! Хлопок приятный. В размер или чуть маломерит. 
","[""Качественный"", ""Качественный принт""]"
"Хорошая 
Немного большемерит
Отличная футболка
хорошая футболка 
Очень веселенькая
Хорошая футболка,только плотная.Если брать на жаркое лето.
Очень качественная,  яркая и стильная!
Отличная футболка
все хорошо, братику понравилась, смешной принт 
Красивая футболка, тонкая, качественный трикотаж Размеру соответствует. 
Берем этот бренд не первый раз. Качество на высоте, в размер
Футболка отличная за такие деньги, интересный рисунок , после стирки все окей
Хорошего качества футболка
Отличная ,сыну очень понравилась 
Классная футболка ! Все на достойном уровне. Легкая, забавная и удобная!
Не линяет после стирки. 
Размер на рост 87 немного большеват, но носить можно
Хорошая футболочка с забавным принтом 
Отличная футболка
","[""Качественный"", ""Не жмет"", ""Просвечивает"", ""Идет в размер"", ""Качественный принт""]"
"Качество не очень 
И они очень очень широкие 
Ужасные джинсы . На картинке все красиво, а в жизни ткань как у футболки , торчат нитки
Штаны супер качество и смотрятся
Стильные, модные, качество на высоте. Сын носит с удовольствием. Готов в них даже спать))
отличные джинсы, подошли брату)
","[""Скатывается ткань"", ""Есть дефекты""]"
"Хороший логслив,сыну понравилось)
ребёнку очень понравился лонгслив  качество хорошее, после стирки не потерял форму и цвет  очень довольна 
Удобная кофта
Всё хорошо.
Обожаю вещи этого бренда
отличный Лонг, смотрится стильно, на рост164 брали 170, подходит для ребят плотного телосложения, не в облипку, свободная посадка.
Хороший на каждый день 
Просто супер качественный 
Хороший Лонг. На мальчика крупного ростом 142 , брали 146 р 
","[""Качественный"", ""Садится после стирки"", ""Удобный""]"
"Отличное термобклье
Взяла на следующую зиму, так что проверим через полгода 
Как будто очень даже норм
Хороший лонг, как термо отлично подошел
Отличная кофта 
Классное) внутри мягчайший начесик, плоские деликатные швы. Скорее на 104, чем на 110.
","[""Приятный материал"", ""Идет в размер""]"
"Катышек нет
Стильное худи для подростков 
Нормальная, утеплитель тоненький, скатается наверно быстро
Сыну очень нравится . 
Шикарное худи, сын в восторге, взяли на 2 размера меньше и подошло 
Оверсайз, широкая в ширину, в длину коротковата. Качество хорошее. 
Хорошая толстовка 
Качественная, овер, внутри начес, соответствует фото
Плотная и теплая. В носке отличная
Очень классная и теплая.
Спасибо, хорошее качество, классный принт, ребенок в восторге 
Отличное худи. Качество на высоте, стильная, по размеру  подошло
Красивая, сшита отлично 
","[""Идет в размер"", ""Просвечивает"", ""Качественный принт"", ""Качественный""]"
"Уютный свитер. Расцветка бледновата. Но сыну понравился. Рекомендую.
Джемпер суну понравился. Качество хорошее. Рекомендую.
Теплый, красивая расцветка, мягкий и приятный для тела, не колется. Ребенку нравится
Очень красивый джемпер, мягкий, как на фото
Джемпер не колючий, внутри как шелк и приятный на ощупь  ребенку очень понравилось  
Красивый джемпер! Качество отличное!
Мягкий, тёплый, в размер
Приятная цена,хорошее качество.
Очень понравился. Необычная расцветка. Взяли в школу. В размер. 
Очень приятный материал. Ровные швы
Красивый джемпер
","[""Приятный материал"", ""Удобный"", ""Цвет как на фото""]"
"Тонкие, удобные, не колючие
Хорошие , в размер 
Брали для занятий спортом, просто отлично! Тонкие, плотно облегают, к концу тренировки ребенок чувствует себя комфортно 
Размер в размер. 
Отличное и тёплое термобелье, ребёнок доволен.
","[""Идет в размер"", ""Просвечивает"", ""Удобный""]"
"На плотного мальчика 142 р взяли 146. Села хорошо. 
Хорошее качество 
Мы очень любим эту фирму 
140 оказалась маломеркой. Качество отличное, яркая, жаль, отказ
Хорошая, но плотноватая. Закажем у осени.
","[""Качественный"", ""Просвечивает""]"
"Хорошая куртка
Хороший пуховик . Полноразмерный. На рост ребенка 167 оказался большим. Размер 170. Взяли другой, размером меньше.
Отличный пуховик 
Отличная, теплая, качественная!
Быстро пришла. 
Отличная тёплая куртка. Удобно застегивать. Брала сыну на вырост. Меряла на себя. Рекомендую.
Тёплая куртка.
Хорошая куртка, отказ в пользу другой. На стройного парня широковата
Курточка супер! Это уже третья подобная. На эту зиму была на 158, на следующую есть 164 и эта на вырост по вкусной цене.
Ничего лишнего, все продумано. Стираются на ура. Чуть большемерят.
Качество хорошее. Стоит брать, тем более со скидкой.
OSTIN  как всегда качественный
куртка очень понравился сшита очень хорошо ребенку очень комфортно и удобно тепло
Очень понравилось качество куртки.
Классная,сыну понравилась. 
","[""Дышит"", ""Для высокого роста"", ""Качественный"", ""Удобный""]"
"Качественная футболка. Ткань плотная. Рисунок , как на фото. Сын доволен
Хорошая футболка, размер в размер 
Хорошая футболка, плотная, не на жару.
огонь,в живую еще лучше чем на фото
Класс, овер, рисунок резиновый 
Класс, Овер, рисунок резинка
","[""Скатывается ткань""]"
